UPA;UT;Faixa;Especie;DAP;Hc;Qf;Volume;MICRO
6;5;1;Angelim vermelho;108.225;18;1;11.590936;APP
6;5;1;Abiu;89.763;20;2;8.859646;APP
6;5;1;Angelim vermelho;111.408;16;1;10.918029;AEE
6;5;1;Abiu vermelho;56.341;20;2;3.490316;APP
6;5;1;Sucupira Amarela;55.386;19;1;3.204352;APP
6;5;1;Louro Preto;49.02;18;2;2.377947;APP
6;5;1;Sucupira Amarela;60.479;18;1;3.619661;APP
6;5;1;Cajuacu;47.11;19;1;2.318276;APP
6;5;1;Melancieiro;52.203;15;2;2.247331;APP
6;5;1;Sapucaia;101.859;14;2;7.985758;APP
6;5;1;Andiroba;45.2;17;2;1.909474;APP
6;5;1;Melancieiro;77.986;15;2;5.01547;AEE
6;5;1;Cumaru;108.225;12;2;7.727291;AEE
6;5;1;Cumaru;57.296;10;2;1.804817;AEE
6;5;1;Piquia;56.341;10;1;1.745158;AEE
6;5;1;Matamat  branco;60.479;15;2;3.016384;AEE
6;5;1;Abiu rosadinho;68.118;13;1;3.31634;AEE
6;5;1;Fava vicki;49.338;15;1;2.007441;AEE
6;5;1;Abiu vermelho;70.028;16;2;4.313736;AEE
6;5;1;Jatoba;61.434;18;1;3.734868;AEE
6;5;1;Maparajuba;65.89;19;1;4.535054;AEE
6;5;1;Piquia;89.127;17;1;7.42426;AEE
6;5;1;Abiu rosadinho;51.566;13;2;1.900472;AEE
6;5;1;Jatoba;66.845;17;2;4.176146;AEE
6;5;1;Abiu vermelho;46.155;14;2;1.639654;AEE
6;5;1;Matamat  preto;68.437;15;1;3.862392;AEE
6;5;1;Louro Preto;50.93;15;2;2.139042;AEE
6;5;1;Melancieiro;81.487;20;2;7.301265;AEE
6;5;1;Abiu vermelho;49.656;18;1;2.440113;AEE
6;5;1;Angelim amargoso;70.028;22;1;5.931386;AEE
6;5;1;Piquiarana;70.028;14;1;3.774519;AEE
6;5;1;Maparajuba;45.2;18;1;2.021796;AEE
6;5;2;Melancieiro;120.958;20;1;16.087382;AEE
6;5;2;Breu vermelho;76.394;20;2;6.417127;AEE
6;5;2;Abiu;49.338;17;1;2.2751;AEE
6;5;2;Cumaru;47.11;20;1;2.440291;AEE
6;5;2;AmarelÆo, garapa;52.521;10;1;1.516548;AEE
6;5;2;Cumaru;85.625;20;1;8.061628;AEE
6;5;2;Lacre do Mato;45.837;14;1;1.617116;AEE
