Arvore;DAP;H;Volume
1;6.6;8.9;0.016597348
2;6.8;7.95;0.016671804
3;7;6.87;0.014186396
4;7.1;12.7;0.026694113
5;7.5;11.74;0.028451944
6;9.9;13.84;0.065525769
7;10.8;15.25;0.049014343
8;11.2;13;0.057691422
9;11.3;14.6;0.065610121
10;11.7;15.6;0.082867046
11;12.6;17.2;0.100118788
12;14;16.6;0.127269374
13;14.3;17.87;0.15799148
14;14.6;17.9;0.141225507
15;14.9;16.5;0.131809054
16;15;18.3;0.153028549
17;15.3;17.4;0.161907004
18;15.4;17.55;0.139096803
19;16.2;16.99;0.191800797
20;17.1;17.72;0.157749577
21;17.4;16.2;0.195607968
22;18;16.1;0.1968412
23;18.1;15.34;0.250182804
24;19.2;16.15;0.203258021
25;19.8;14.38;0.261575539
26;20.6;22;0.316939575
27;22.5;20.6;0.377426543
28;23.5;16.7;0.263244416
29;23.8;22.8;0.395310374
30;32.6;21.55;0.603094526
